building_id,location_id,hazard,hazard__source,hazard__confidence,hazard__status,soil_class,soil_class__source,soil_class__confidence,soil_class__status,building_age,building_age__source,building_age__confidence,building_age__status,floor_count,floor_count__source,floor_count__confidence,floor_count__status,structural_system,structural_system__source,structural_system__confidence,structural_system__status,usage_type,usage_type__source,usage_type__confidence,usage_type__status,is_existing_building,is_existing_building__source,is_existing_building__confidence,is_existing_building__status,retrofit_status,retrofit_status__source,retrofit_status__confidence,retrofit_status__status,completeness,mean_confidence,needs_field_check,lat,lon,area_m2,osm_id,risk_score,risk_band,data_status,triage_note
ZE00011,Zeytinburnu,80,"AFAD TDTH 2018 (İstanbul, ilçe seviyesi yaklaşık)",0.6,gozlemlendi,ZD,İBB mikrobölgeleme (yaklaşık model — gerçek GIS ile değiştirilecek),0.5,gozlemlendi,,ortofoto tarihleme gerekli,,belirlenemedi,13.0,OSM building:levels,0.85,gozlemlendi,,dış görüntüden çıkarılamaz,,belirlenemedi,konut,varsayılan (tag yok),0.3,saha_dogrulamasi_gerekli,True,envanter varsayımı,0.9,gozlemlendi,yok,varsayılan (kayıt yok),0.3,saha_dogrulamasi_gerekli,0.33,0.57,True,41.004986,28.909134,450.9,443030964,76.4,Yüksek,kismi,Kritik yapı verisi eksik — risk skoru konuma dayalı geçicidir; saha kontrolü gerekli.
ZE00012,Zeytinburnu,80,"AFAD TDTH 2018 (İstanbul, ilçe seviyesi yaklaşık)",0.6,gozlemlendi,ZC,İBB mikrobölgeleme (yaklaşık model — gerçek GIS ile değiştirilecek),0.5,gozlemlendi,,ortofoto tarihleme gerekli,,belirlenemedi,11.0,OSM building:levels,0.85,gozlemlendi,,dış görüntüden çıkarılamaz,,belirlenemedi,konut,OSM building tag,0.7,gozlemlendi,True,envanter varsayımı,0.9,gozlemlendi,yok,varsayılan (kayıt yok),0.3,saha_dogrulamasi_gerekli,0.33,0.64,True,41.008538,28.907755,1373.4,488400658,69.3,Yüksek,kismi,Kritik yapı verisi eksik — risk skoru konuma dayalı geçicidir; saha kontrolü gerekli.
ZE00013,Zeytinburnu,80,"AFAD TDTH 2018 (İstanbul, ilçe seviyesi yaklaşık)",0.6,gozlemlendi,ZC,İBB mikrobölgeleme (yaklaşık model — gerçek GIS ile değiştirilecek),0.5,gozlemlendi,,ortofoto tarihleme gerekli,,belirlenemedi,4.0,OSM building:levels,0.85,gozlemlendi,,dış görüntüden çıkarılamaz,,belirlenemedi,konut,OSM building tag,0.7,gozlemlendi,True,envanter varsayımı,0.9,gozlemlendi,yok,varsayılan (kayıt yok),0.3,saha_dogrulamasi_gerekli,0.33,0.64,True,41.009139,28.909135,1023.1,488400662,62.9,Orta,kismi,Kritik yapı verisi eksik — risk skoru konuma dayalı geçicidir; saha kontrolü gerekli.
ZE00014,Zeytinburnu,80,"AFAD TDTH 2018 (İstanbul, ilçe seviyesi yaklaşık)",0.6,gozlemlendi,ZE,İBB mikrobölgeleme (yaklaşık model — gerçek GIS ile değiştirilecek),0.5,gozlemlendi,,ortofoto tarihleme gerekli,,belirlenemedi,,OSM (kat tag'i yok),,belirlenemedi,,dış görüntüden çıkarılamaz,,belirlenemedi,egitim,OSM building tag,0.7,gozlemlendi,True,envanter varsayımı,0.9,gozlemlendi,yok,varsayılan (kayıt yok),0.3,saha_dogrulamasi_gerekli,0.0,0.6,True,41.002134,28.902313,999.8,545899204,82.3,Yüksek,site_only,Kritik yapı verisi eksik — risk skoru konuma dayalı geçicidir; saha kontrolü gerekli.
ZE00015,Zeytinburnu,80,"AFAD TDTH 2018 (İstanbul, ilçe seviyesi yaklaşık)",0.6,gozlemlendi,ZE,İBB mikrobölgeleme (yaklaşık model — gerçek GIS ile değiştirilecek),0.5,gozlemlendi,,ortofoto tarihleme gerekli,,belirlenemedi,,OSM (kat tag'i yok),,belirlenemedi,,dış görüntüden çıkarılamaz,,belirlenemedi,egitim,OSM building tag,0.7,gozlemlendi,True,envanter varsayımı,0.9,gozlemlendi,yok,varsayılan (kayıt yok),0.3,saha_dogrulamasi_gerekli,0.0,0.6,True,41.001276,28.902303,1019.7,545900011,82.3,Yüksek,site_only,Kritik yapı verisi eksik — risk skoru konuma dayalı geçicidir; saha kontrolü gerekli.
ZE00016,Zeytinburnu,80,"AFAD TDTH 2018 (İstanbul, ilçe seviyesi yaklaşık)",0.6,gozlemlendi,ZE,İBB mikrobölgeleme (yaklaşık model — gerçek GIS ile değiştirilecek),0.5,gozlemlendi,,ortofoto tarihleme gerekli,,belirlenemedi,,OSM (kat tag'i yok),,belirlenemedi,,dış görüntüden çıkarılamaz,,belirlenemedi,egitim,OSM building tag,0.7,gozlemlendi,True,envanter varsayımı,0.9,gozlemlendi,yok,varsayılan (kayıt yok),0.3,saha_dogrulamasi_gerekli,0.0,0.6,True,41.001783,28.902509,751.4,545900318,82.3,Yüksek,site_only,Kritik yapı verisi eksik — risk skoru konuma dayalı geçicidir; saha kontrolü gerekli.
ZE00017,Zeytinburnu,80,"AFAD TDTH 2018 (İstanbul, ilçe seviyesi yaklaşık)",0.6,gozlemlendi,ZE,İBB mikrobölgeleme (yaklaşık model — gerçek GIS ile değiştirilecek),0.5,gozlemlendi,,ortofoto tarihleme gerekli,,belirlenemedi,,OSM (kat tag'i yok),,belirlenemedi,,dış görüntüden çıkarılamaz,,belirlenemedi,egitim,OSM building tag,0.7,gozlemlendi,True,envanter varsayımı,0.9,gozlemlendi,yok,varsayılan (kayıt yok),0.3,saha_dogrulamasi_gerekli,0.0,0.6,True,41.000748,28.902345,787.5,545901139,82.3,Yüksek,site_only,Kritik yapı verisi eksik — risk skoru konuma dayalı geçicidir; saha kontrolü gerekli.
ZE00018,Zeytinburnu,80,"AFAD TDTH 2018 (İstanbul, ilçe seviyesi yaklaşık)",0.6,gozlemlendi,ZE,İBB mikrobölgeleme (yaklaşık model — gerçek GIS ile değiştirilecek),0.5,gozlemlendi,,ortofoto tarihleme gerekli,,belirlenemedi,,OSM (kat tag'i yok),,belirlenemedi,,dış görüntüden çıkarılamaz,,belirlenemedi,konut,varsayılan (tag yok),0.3,saha_dogrulamasi_gerekli,True,envanter varsayımı,0.9,gozlemlendi,yok,varsayılan (kayıt yok),0.3,saha_dogrulamasi_gerekli,0.0,0.52,True,41.001238,28.903793,711.4,545901621,82.3,Yüksek,site_only,Kritik yapı verisi eksik — risk skoru konuma dayalı geçicidir; saha kontrolü gerekli.
ZE00019,Zeytinburnu,80,"AFAD TDTH 2018 (İstanbul, ilçe seviyesi yaklaşık)",0.6,gozlemlendi,ZD,İBB mikrobölgeleme (yaklaşık model — gerçek GIS ile değiştirilecek),0.5,gozlemlendi,,ortofoto tarihleme gerekli,,belirlenemedi,,OSM (kat tag'i yok),,belirlenemedi,,dış görüntüden çıkarılamaz,,belirlenemedi,konut,varsayılan (tag yok),0.3,saha_dogrulamasi_gerekli,True,envanter varsayımı,0.9,gozlemlendi,yok,varsayılan (kayıt yok),0.3,saha_dogrulamasi_gerekli,0.0,0.52,True,41.004235,28.901827,516.0,546395188,75.5,Yüksek,site_only,Kritik yapı verisi eksik — risk skoru konuma dayalı geçicidir; saha kontrolü gerekli.
ZE00020,Zeytinburnu,80,"AFAD TDTH 2018 (İstanbul, ilçe seviyesi yaklaşık)",0.6,gozlemlendi,ZD,İBB mikrobölgeleme (yaklaşık model — gerçek GIS ile değiştirilecek),0.5,gozlemlendi,,ortofoto tarihleme gerekli,,belirlenemedi,,OSM (kat tag'i yok),,belirlenemedi,,dış görüntüden çıkarılamaz,,belirlenemedi,konut,varsayılan (tag yok),0.3,saha_dogrulamasi_gerekli,True,envanter varsayımı,0.9,gozlemlendi,yok,varsayılan (kayıt yok),0.3,saha_dogrulamasi_gerekli,0.0,0.52,True,41.006758,28.900838,531.1,546395189,75.5,Yüksek,site_only,Kritik yapı verisi eksik — risk skoru konuma dayalı geçicidir; saha kontrolü gerekli.
